subj,graphid,tp,q,pt
24,Q3 C,1,Q3,C
24,Q3 D,1,Q3,D
24,Q3 E,1,Q3,E
24,Q4 A,1,Q4,A
24,Q4 B,0,Q4,B
24,Q5 A,0,Q5,A
24,Q5 B,1,Q5,B
24,Q5 C,1,Q5,C
24,Q5 D,0,Q5,D
24,Q6 A,1,Q6,A
24,Q6 B,0,Q6,B
24,Q6 C,1,Q6,C
24,Q7 A,1,Q7,A
24,Q7 B,0,Q7,B
24,Q8 A,1,Q8,A
24,Q8 B,1,Q8,B
24,Q9 A,0,Q9,A
24,Q10 A,1,Q10,A
24,Q10 B,1,Q10,B
24,Q10 C,0,Q10,C
24,Q10 D,1,Q10,D
24,Q11 A,1,Q11,A
24,Q11 B,0,Q11,B
24,Q11 C,1,Q11,C
24,Q11 D,1,Q11,D
24,Q12 A,0,Q12,A
24,Q13 A,0,Q13,A
25,Q2 A,1,Q2,A
25,Q2 B,1,Q2,B
25,Q2 C,1,Q2,C
25,Q3 A,1,Q3,A
25,Q3 B,1,Q3,B
25,Q3 C,1,Q3,C
25,Q3 D,1,Q3,D
25,Q3 E,1,Q3,E
25,Q4 A,1,Q4,A
25,Q4 B,1,Q4,B
25,Q5 A,1,Q5,A
25,Q5 B,1,Q5,B
25,Q5 C,1,Q5,C
25,Q5 D,1,Q5,D
25,Q6 A,1,Q6,A
25,Q6 B,1,Q6,B
25,Q6 C,1,Q6,C
25,Q7 A,1,Q7,A
25,Q7 B,1,Q7,B
25,Q8 A,1,Q8,A
25,Q8 B,1,Q8,B
25,Q9 A,1,Q9,A
25,Q10 A,1,Q10,A
25,Q10 B,1,Q10,B
25,Q10 C,1,Q10,C
25,Q10 D,1,Q10,D
25,Q11 A,1,Q11,A
25,Q11 B,0,Q11,B
25,Q11 C,1,Q11,C
25,Q11 D,1,Q11,D
25,Q12 A,1,Q12,A
25,Q13 A,1,Q13,A
26,Q2 A,1,Q2,A
26,Q2 B,1,Q2,B
26,Q2 C,0,Q2,C
26,Q3 A,1,Q3,A
26,Q3 B,1,Q3,B
26,Q3 C,1,Q3,C
26,Q3 D,1,Q3,D
26,Q3 E,1,Q3,E
26,Q4 A,1,Q4,A
26,Q4 B,1,Q4,B
26,Q5 A,0,Q5,A
26,Q5 B,1,Q5,B
26,Q5 C,1,Q5,C
26,Q5 D,1,Q5,D
26,Q6 A,1,Q6,A
26,Q6 B,1,Q6,B
26,Q6 C,0,Q6,C
26,Q7 A,1,Q7,A
26,Q7 B,0,Q7,B
26,Q8 A,1,Q8,A
26,Q8 B,0,Q8,B
26,Q9 A,0,Q9,A
26,Q10 A,1,Q10,A
26,Q10 B,1,Q10,B
26,Q10 C,1,Q10,C
26,Q10 D,1,Q10,D
26,Q11 A,1,Q11,A
26,Q11 B,1,Q11,B
26,Q11 C,1,Q11,C
26,Q11 D,1,Q11,D
26,Q12 A,0,Q12,A
26,Q13 A,0,Q13,A
27,Q2 A,1,Q2,A
27,Q2 B,1,Q2,B
27,Q2 C,1,Q2,C
27,Q3 A,1,Q3,A
27,Q3 B,0,Q3,B
27,Q3 C,0,Q3,C
27,Q3 D,0,Q3,D
27,Q3 E,1,Q3,E
27,Q4 A,0,Q4,A
27,Q4 B,0,Q4,B
27,Q5 A,1,Q5,A
27,Q5 B,0,Q5,B
27,Q5 C,1,Q5,C
27,Q5 D,0,Q5,D
27,Q6 A,1,Q6,A
27,Q6 B,0,Q6,B
27,Q6 C,1,Q6,C
27,Q7 A,1,Q7,A
27,Q7 B,0,Q7,B
27,Q8 A,1,Q8,A
27,Q8 B,1,Q8,B
27,Q9 A,0,Q9,A
27,Q10 A,1,Q10,A
27,Q10 B,1,Q10,B
27,Q10 C,1,Q10,C
27,Q10 D,1,Q10,D
27,Q11 A,0,Q11,A
27,Q11 B,0,Q11,B
27,Q11 C,0,Q11,C
27,Q11 D,0,Q11,D
27,Q12 A,1,Q12,A
27,Q13 A,1,Q13,A
28,Q2 A,0,Q2,A
28,Q2 B,0,Q2,B
28,Q2 C,1,Q2,C
28,Q3 A,1,Q3,A
28,Q3 B,0,Q3,B
